,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
68,9.203140338,0.144796854,0.423613707,0.013306724,1,7,4,0.2,50,1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 50, 'colsample_bytree': 1.0}",0.06151273,0.072153326,0.051249199,0.061638418,0.008534537,69
69,9.707362334,0.113943043,0.414317369,0.004893859,1,7,3,0.15,60,0.3,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 60, 'colsample_bytree': 0.3}",0.064001418,0.076930224,0.041756815,0.060896152,0.014526394,70
70,9.367060979,0.061624862,0.355014324,0.006445948,1,7,3,0.2,60,0.7,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 60, 'colsample_bytree': 0.7}",0.068128221,0.069980194,0.044319533,0.060809316,0.011684524,71
71,9.503022035,0.047749691,0.435277621,0.034536155,1,7,5,0.15,50,0.5,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 50, 'colsample_bytree': 0.5}",0.053496742,0.060773481,0.050513699,0.054927974,0.004309068,72
72,12.95998263,0.124252531,0.715075016,0.025669833,1,7,4,0.05,50,1,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 50, 'colsample_bytree': 1.0}",0.051573078,0.06355725,0.048338369,0.054489566,0.006546399,73
73,9.467512608,0.189066593,0.299522003,0.010746077,1,7,4,0.25,60,0.7,"{'subsample': 1.0, 'scale_pos_weight': 7, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 60, 'colsample_bytree': 0.7}",0.051720747,0.056152927,0.051056527,0.052976734,0.002262219,74
74,11.5509611,0.034898935,0.676427523,0.012710287,1,5,5,0.2,20,0.1,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 20, 'colsample_bytree': 0.1}",0.03335557,0.044748956,0.021080057,0.033061528,0.009665024,75
75,9.347941001,0.057243834,0.436011314,0.022801408,1,5,4,0.25,50,0.1,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 50, 'colsample_bytree': 0.1}",0.032704126,0.047158789,0.016672621,0.032178512,0.012451474,76
76,10.50154765,0.110332701,0.486098607,0.013079418,1,5,4,0.25,40,0.1,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 40, 'colsample_bytree': 0.1}",0.031991175,0.04244828,0.017799929,0.030746461,0.010101065,77
77,10.85296392,0.102434172,0.571996848,0.014115628,1,5,5,0.2,10,0.3,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 10, 'colsample_bytree': 0.3}",0.026258705,0.036101883,0.02762113,0.029993906,0.004354659,78
78,9.465438445,0.513802279,0.422100941,0.031398266,1,5,5,0.25,10,0.7,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 10, 'colsample_bytree': 0.7}",0.028359217,0.034337616,0.026792932,0.029829922,0.003250928,79
79,14.43994037,0.140637425,0.806317329,0.016347535,1,5,5,0.05,50,0.1,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 50, 'colsample_bytree': 0.1}",0.035905857,0.040131579,0.011820046,0.029285827,0.012470079,80
80,10.41345914,0.072753084,0.439196428,0.009304278,1,5,3,0.2,50,0.1,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 50, 'colsample_bytree': 0.1}",0.028702769,0.042238422,0.013422819,0.028121337,0.011771103,81
81,8.930971384,0.590958719,0.365584691,0.077747364,1,5,3,0.15,10,0.7,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 10, 'colsample_bytree': 0.7}",0.02231424,0.031987473,0.023745151,0.026015621,0.004262952,82
82,9.99498709,0.062979478,0.39631168,0.015534102,1,5,3,0.2,20,1,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 20, 'colsample_bytree': 1.0}",0.022653722,0.031435949,0.019320215,0.024469962,0.005110238,83
83,9.679419438,0.186510415,0.450817347,0.045299149,1,5,4,0.25,30,0.3,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 30, 'colsample_bytree': 0.3}",0.020993702,0.0328422,0.01473964,0.022858514,0.007507055,84
84,9.301092625,0.04659874,0.384105603,0.006504388,1,5,4,0.2,20,0.5,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 20, 'colsample_bytree': 0.5}",0.017265847,0.028949168,0.020137408,0.022117474,0.004970949,85
85,10.34900514,0.277565288,0.349541664,0.034208584,1,5,4,0.25,50,0.3,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 50, 'colsample_bytree': 0.3}",0.020391422,0.032432432,0.011423016,0.021415623,0.008607579,86
86,9.347531319,0.004490976,0.357911825,0.004699456,1,5,5,0.25,60,0.3,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 60, 'colsample_bytree': 0.3}",0.017405622,0.036074389,0.010419191,0.021299734,0.010829601,87
87,12.02896889,0.098833518,0.557444652,0.014793759,1,5,4,0.1,20,0.3,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 20, 'colsample_bytree': 0.3}",0.016593576,0.026678828,0.018602433,0.020624945,0.004358593,88
88,7.873913844,0.041791381,0.353493055,0.023928025,1,5,5,0.25,40,0.5,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 40, 'colsample_bytree': 0.5}",0.017049491,0.026859504,0.017175573,0.020361523,0.004595055,89
89,12.00329224,0.075140002,0.548252026,0.034205675,1,5,3,0.1,20,0.7,"{'subsample': 1.0, 'scale_pos_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 20, 'colsample_bytree': 0.7}",0.016288952,0.02988792,0.011378768,0.019185213,0.007828939,90
